[2026-07-03 22:15:12,962 INFO] Batch size: 16
[2026-07-03 22:15:12,962 INFO] The number of training instances: 80000
[2026-07-03 22:15:13,336 INFO] Start training.
  0%|          | 0/4 [00:00<?, ?it/s][2026-07-03 22:15:13,337 INFO] 4
[2026-07-03 22:26:01,511 INFO] Epoch id: 3, Training steps: 4800, Avg loss: 0.000
[2026-07-03 22:26:05,696 INFO] Epoch id: 3, Training steps: 4900, Avg loss: 0.000
[2026-07-03 22:26:11,179 INFO] Epoch id: 3, Training steps: 5000, Avg loss: 0.000
[2026-07-03 22:26:18,230 INFO] Acc. (Correct/Total): 1.0000 (10000/10000) 
 75%|███████▌  | 3/4 [11:04<03:44, 224.27s/it][2026-07-03 22:26:18,235 INFO] 4
[2026-07-03 22:26:22,471 INFO] Epoch id: 4, Training steps: 100, Avg loss: 0.000
[2026-07-03 22:26:27,117 INFO] Epoch id: 4, Training steps: 200, Avg loss: 0.000
[2026-07-03 22:26:30,565 INFO] Epoch id: 4, Training steps: 300, Avg loss: 0.000
[2026-07-03 22:26:34,102 INFO] Epoch id: 4, Training steps: 400, Avg loss: 0.000
[2026-07-03 22:26:37,601 INFO] Epoch id: 4, Training steps: 500, Avg loss: 0.000
[2026-07-03 22:26:42,554 INFO] Epoch id: 4, Training steps: 600, Avg loss: 0.000
[2026-07-03 22:26:45,976 INFO] Epoch id: 4, Training steps: 700, Avg loss: 0.000
[2026-07-03 22:26:52,395 INFO] Epoch id: 4, Training steps: 800, Avg loss: 0.000
[2026-07-03 22:26:55,926 INFO] Epoch id: 4, Training steps: 900, Avg loss: 0.000
[2026-07-03 22:27:03,122 INFO] Epoch id: 4, Training steps: 1000, Avg loss: 0.000
[2026-07-03 22:27:07,150 INFO] Epoch id: 4, Training steps: 1100, Avg loss: 0.000
[2026-07-03 22:27:11,378 INFO] Epoch id: 4, Training steps: 1200, Avg loss: 0.000
[2026-07-03 22:27:14,886 INFO] Epoch id: 4, Training steps: 1300, Avg loss: 0.000
[2026-07-03 22:27:18,352 INFO] Epoch id: 4, Training steps: 1400, Avg loss: 0.000
[2026-07-03 22:27:22,809 INFO] Epoch id: 4, Training steps: 1500, Avg loss: 0.000
[2026-07-03 22:27:26,368 INFO] Epoch id: 4, Training steps: 1600, Avg loss: 0.000
[2026-07-03 22:27:31,277 INFO] Epoch id: 4, Training steps: 1700, Avg loss: 0.000
[2026-07-03 22:27:36,930 INFO] Epoch id: 4, Training steps: 1800, Avg loss: 0.000
[2026-07-03 22:27:40,418 INFO] Epoch id: 4, Training steps: 1900, Avg loss: 0.000
[2026-07-03 22:27:45,778 INFO] Epoch id: 4, Training steps: 2000, Avg loss: 0.000
[2026-07-03 22:27:52,514 INFO] Epoch id: 4, Training steps: 2100, Avg loss: 0.000
[2026-07-03 22:27:56,001 INFO] Epoch id: 4, Training steps: 2200, Avg loss: 0.000
[2026-07-03 22:28:00,211 INFO] Epoch id: 4, Training steps: 2300, Avg loss: 0.000
[2026-07-03 22:28:04,708 INFO] Epoch id: 4, Training steps: 2400, Avg loss: 0.000
[2026-07-03 22:28:10,311 INFO] Epoch id: 4, Training steps: 2500, Avg loss: 0.000
[2026-07-03 22:28:16,629 INFO] Epoch id: 4, Training steps: 2600, Avg loss: 0.000
[2026-07-03 22:28:20,351 INFO] Epoch id: 4, Training steps: 2700, Avg loss: 0.000
[2026-07-03 22:28:26,035 INFO] Epoch id: 4, Training steps: 2800, Avg loss: 0.000
[2026-07-03 22:28:29,616 INFO] Epoch id: 4, Training steps: 2900, Avg loss: 0.000
[2026-07-03 22:28:33,927 INFO] Epoch id: 4, Training steps: 3000, Avg loss: 0.000
[2026-07-03 22:28:37,521 INFO] Epoch id: 4, Training steps: 3100, Avg loss: 0.000
[2026-07-03 22:28:42,015 INFO] Epoch id: 4, Training steps: 3200, Avg loss: 0.000
[2026-07-03 22:28:45,587 INFO] Epoch id: 4, Training steps: 3300, Avg loss: 0.000
[2026-07-03 22:28:49,197 INFO] Epoch id: 4, Training steps: 3400, Avg loss: 0.000
[2026-07-03 22:28:52,810 INFO] Epoch id: 4, Training steps: 3500, Avg loss: 0.000
[2026-07-03 22:28:58,598 INFO] Epoch id: 4, Training steps: 3600, Avg loss: 0.000
[2026-07-03 22:29:03,895 INFO] Epoch id: 4, Training steps: 3700, Avg loss: 0.000
[2026-07-03 22:29:07,408 INFO] Epoch id: 4, Training steps: 3800, Avg loss: 0.000
[2026-07-03 22:29:10,940 INFO] Epoch id: 4, Training steps: 3900, Avg loss: 0.000
[2026-07-03 22:29:17,886 INFO] Epoch id: 4, Training steps: 4000, Avg loss: 0.000
[2026-07-03 22:29:22,820 INFO] Epoch id: 4, Training steps: 4100, Avg loss: 0.000
[2026-07-03 22:29:26,339 INFO] Epoch id: 4, Training steps: 4200, Avg loss: 0.000
[2026-07-03 22:29:29,884 INFO] Epoch id: 4, Training steps: 4300, Avg loss: 0.000
[2026-07-03 22:29:34,151 INFO] Epoch id: 4, Training steps: 4400, Avg loss: 0.000
[2026-07-03 22:29:37,682 INFO] Epoch id: 4, Training steps: 4500, Avg loss: 0.000
[2026-07-03 22:29:41,902 INFO] Epoch id: 4, Training steps: 4600, Avg loss: 0.000
[2026-07-03 22:29:47,183 INFO] Epoch id: 4, Training steps: 4700, Avg loss: 0.000
[2026-07-03 22:29:53,326 INFO] Epoch id: 4, Training steps: 4800, Avg loss: 0.000
[2026-07-03 22:29:57,607 INFO] Epoch id: 4, Training steps: 4900, Avg loss: 0.000
[2026-07-03 22:30:02,446 INFO] Epoch id: 4, Training steps: 5000, Avg loss: 0.000
[2026-07-03 22:30:09,304 INFO] Acc. (Correct/Total): 1.0000 (10000/10000) 
100%|██████████| 4/4 [14:55<00:00, 226.96s/it]100%|██████████| 4/4 [14:55<00:00, 223.99s/it]
[2026-07-03 22:30:09,309 INFO] Test set evaluation.
finetune/run_understanding.py:380: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  args.model.load_state_dict(torch.load(args.output_model_path))
[2026-07-03 22:30:16,381 INFO] Label 0: 1.000, 1.000, 1.000
[2026-07-03 22:30:16,381 INFO] Label 1: 1.000, 1.000, 1.000
[2026-07-03 22:30:16,381 INFO] Acc. (Correct/Total): 1.0000 (10000/10000) 
tensor([[5000,    0],
        [   0, 5000]])
